Effective severity,CVSS,Fix available,Package,Documentation,,,
 High,7.1,—,glibc,CVE-2019-25013  ,,,
 High,7.5,—,glibc,CVE-2021-33574  ,,,
 Medium,4.6,—,systemd,CVE-2019-3844  ,,,
 Medium,4.6,—,systemd,CVE-2019-3843  ,,,
 Medium,5,—,libidn2,CVE-2019-12290  ,,,
 Medium,5,—,pcre3,CVE-2020-14155  ,,,
 Medium,5.9,—,glibc,CVE-2020-1751  ,,,
 Medium,5,—,pcre2,CVE-2019-20454  ,,,
 Medium,5.8,—,wget,CVE-2021-31879  ,,,
 Medium,6.8,—,gcc-8,CVE-2018-12886  ,,,
 Medium,5.8,—,libssh2,CVE-2019-13115  ,,"diff --git a/src/transport.c b/src/transport.c
index 8725da0..1c5a13c 100644
--- a/src/transport.c
+++ b/src/transport.c
@@ -438,6 +438,12 @@ int _libssh2_transport_read(LIBSSH2_SESSION * session)
                 return LIBSSH2_ERROR_DECRYPT;
 
             p->padding_length = block[4];
+            if(p->packet_length < 1) {
+                return LIBSSH2_ERROR_DECRYPT;
+            }
+            else if(p->packet_length > LIBSSH2_PACKET_MAXPAYLOAD) {
+                return LIBSSH2_ERROR_OUT_OF_BOUNDARY;
+            }
 
             /* total_num is the number of bytes following the initial
                (5 bytes) packet length and padding length fields */",#sudo apt-get update #sudo apt-get install libssh2-1-dev #sudo apt install libssh2-1
 Medium,5,—,glibc,CVE-2021-3326  ,," # emerge --sync
 # emerge --ask --oneshot --verbose "">=sys-libs/glibc-2.33-r1""",
 Low,5,—,glibc,CVE-2019-1010024  ,,,
 Low,4.3,—,apt,CVE-2011-3374  ,,,
 Low,2.1,—,glibc,CVE-2019-19126  ,,,
 Low,2.1,—,sqlite3,CVE-2019-19645  ,,,
 Low,7.8,—,pcre3,CVE-2017-11164  ,,,
 Low,6.8,—,pcre3,CVE-2017-7245  ,,,
 Low,2.1,—,krb5,CVE-2004-0971  ,,,
 Low,5,—,gnupg2,CVE-2019-14855  ,,,
 Low,5,—,sqlite3,CVE-2019-19924  ,,,
 Low,2.1,—,sqlite3,CVE-2020-13631  ,,,
 Low,3.3,—,systemd,CVE-2013-4392  ,,,
 Low,4.3,—,gnutls28,CVE-2011-3389  ,,,
 Low,5,—,sqlite3,CVE-2019-19603  ,,,
 Low,6.9,—,shadow,CVE-2019-19882  ,,,
 Low,0,—,util-linux,CVE-2021-37600  ,,,
 Low,1.9,—,coreutils,CVE-2017-18018  ,,,
 Low,10,—,tar,CVE-2005-2541  ,,,
 Low,2.1,—,libsepol,CVE-2021-36085  ,,,
 Low,4.3,—,tar,CVE-2021-20193  ,,,
 Low,7.5,—,libseccomp,CVE-2019-9893  ,,,
 Low,2.1,—,iproute2,CVE-2019-20795  ,,,
 Low,5,—,tar,CVE-2019-9923  ,,,
 Low,5,—,sqlite3,CVE-2019-19244  ,,,
 Low,7.2,—,bash,CVE-2019-18276  ,,,
 Low,6.8,—,lz4,CVE-2019-17543  ,,,
 Low,3.7,—,glibc,CVE-2020-1752  ,,,
 Low,5,Yes,krb5,CVE-2021-36222  ,,,
 Low,6.2,—,systemd,CVE-2020-13776  ,,,
 Low,6.8,—,glibc,CVE-2020-6096  ,,,
 Low,2.1,—,coreutils,CVE-2016-2781  ,,,
 Low,6.8,—,glibc,CVE-2019-1010023  ,,,
 Low,5,—,perl,CVE-2011-4116  ,,,
 Low,5.8,—,openssl,CVE-2007-6755  ,,,
 Low,4,—,openssl,CVE-2010-0928  ,,,
 Low,2.6,—,libgcrypt20,CVE-2019-13627  ,,,
 Low,5,—,gcc-8,CVE-2019-15847  ,,,
 Low,5,—,glibc,CVE-2010-4051  ,,,
 Low,5,—,libgcrypt20,CVE-2018-6829  ,,,
 Low,2.1,—,glibc,CVE-2020-10029  ,,,
 Low,0,—,curl,CVE-2021-22922  ,,,
 Low,2.1,—,libsepol,CVE-2021-36087  ,,,
 Low,7.5,—,sqlite3,CVE-2020-11656  ,,,
 Low,1.9,—,openldap,CVE-2017-14159  ,,,
 Low,7.1,—,libtasn1-6,CVE-2018-1000654  ,,,
 Low,7.5,—,iptables,CVE-2012-2663  ,,,
 Low,5,—,glibc,CVE-2010-4052  ,,,
 Low,5,—,shadow,CVE-2018-7169  ,,,
 Low,2.1,—,glibc,CVE-2020-27618  ,,,
 Low,3.3,—,shadow,CVE-2013-4235  ,,,
 Low,6.8,—,pcre3,CVE-2017-7246  ,,,
 Low,4,—,openldap,CVE-2020-15719  ,,,
 Low,0,—,curl,CVE-2021-22923  ,,,
 Low,5,—,glibc,CVE-2019-1010025  ,,,
 Low,2.1,—,libsepol,CVE-2021-36086  ,,,
 Low,5,—,glibc,CVE-2019-9192  ,,,
 Low,4,—,glibc,CVE-2010-4756  ,,,
 Low,5,—,glibc,CVE-2018-20796  ,,,
 Low,2.6,—,curl,CVE-2021-22898  ,,,
 Low,5.8,—,libssh2,CVE-2019-17498  ,,,
 Low,7.5,—,glibc,CVE-2019-1010022  ,,,
 Low,4.3,—,pcre3,CVE-2019-20838  ,,,
 Low,2.1,—,pcre3,CVE-2017-16231  ,,,
 Low,5,—,openldap,CVE-2017-17740  ,,,
 Low,4.3,—,glibc,CVE-2016-10228  ,,,
 Low,2.1,—,systemd,CVE-2019-20386  ,,,
 Low,4.9,—,shadow,CVE-2007-5686  ,,,
 Low,3.5,—,iptables,CVE-2019-11360  ,,,
 Low,5,—,openldap,CVE-2015-3276  ,,,
 Low,2.1,—,libsepol,CVE-2021-36084  ,,,
 Low,5,—,krb5,CVE-2018-5709  ,,,
 Unspecified,0,—,glibc,CVE-2021-35942  ,,,
 Unspecified,0,—,curl,CVE-2021-22924 ,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
